Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Spin Time:Imbalance or Serial Spinning	CPU Time:Spin Time:Lock Contention	CPU Time:Spin Time:Other	CPU Time:Overhead Time	CPU Time:Overhead Time:Creation	CPU Time:Overhead Time:Scheduling	CPU Time:Overhead Time:Reduction	CPU Time:Overhead Time:Atomics	CPU Time:Overhead Time:Other	Module	Function (Full)	Source File	Start Address
diskann::DistanceL2Float::compare	3.806933	3.806933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	diskann::DistanceL2Float::compare(float const*, float const*, unsigned int) const	[Unknown]	0x258d0
__kmp_fork_barrier	2.199950	0.0	2.199950	2.169954	0.0	0.029996	0.0	0.0	0.0	0.0	0.0	0.0	libiomp5.so	__kmp_fork_barrier(int, int)	kmp_barrier.cpp	0x82ac0
diskann::Index<float, unsigned int, unsigned int>::iterate_to_fixed_point.constprop.1	0.439926	0.439926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	diskann::Index<float, unsigned int, unsigned int>::iterate_to_fixed_point(diskann::InMemQueryScratch<float>*, unsigned int, std::vector<unsigned int, std::allocator<unsigned int>> const&, bool, std::vector<unsigned int, std::allocator<unsigned int>> const&, bool).constprop.1	[Unknown]	0x8b6d0
std::istream::read	0.406119	0.406119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libstdc++.so.6	std::istream::read(char*, long)	[Unknown]	0x1380e0
std::vector<unsigned int, std::allocator<unsigned int>>::vector	0.400020	0.400020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	std::vector<unsigned int, std::allocator<unsigned int>>::vector(std::vector<unsigned int, std::allocator<unsigned int>> const&)	[Unknown]	0x1369a0
pthread_mutex_lock	0.308979	0.0	0.308979	0.0	0.0	0.308979	0.0	0.0	0.0	0.0	0.0	0.0	libc.so.6	pthread_mutex_lock	[Unknown]	0x9fff0
__pthread_mutex_unlock	0.260005	0.0	0.260005	0.0	0.0	0.260005	0.0	0.0	0.0	0.0	0.0	0.0	libc.so.6	__pthread_mutex_unlock	[Unknown]	0xa1a70
__kmp_api_omp_get_num_procs	0.139956	0.0	0.0	0.0	0.0	0.0	0.139956	0.0	0.0	0.0	0.0	0.139956	libiomp5.so	__kmp_api_omp_get_num_procs	kmp_ftn_entry.h	0xa97c0
diskann::InMemDataStore<float>::get_distance	0.089979	0.089979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	diskann::InMemDataStore<float>::get_distance(float const*, std::vector<unsigned int, std::allocator<unsigned int>> const&, std::vector<float, std::allocator<float>>&, diskann::AbstractScratch<float>*) const	[Unknown]	0x489de0
func@0x1a1340	0.089978	0.089978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc.so.6	func@0x1a1340	[Unknown]	0x1a1340
func@0x1a1b80	0.080009	0.080009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc.so.6	func@0x1a1b80	[Unknown]	0x1a1b80
