Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Spin Time:Imbalance or Serial Spinning	CPU Time:Spin Time:Lock Contention	CPU Time:Spin Time:Other	CPU Time:Overhead Time	CPU Time:Overhead Time:Creation	CPU Time:Overhead Time:Scheduling	CPU Time:Overhead Time:Reduction	CPU Time:Overhead Time:Atomics	CPU Time:Overhead Time:Other	Module	Function (Full)	Source File	Start Address
tcmalloc::ThreadCache::FetchFromCentralCache	0.036989	0.036989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libtcmalloc.so.4	tcmalloc::ThreadCache::FetchFromCentralCache(unsigned int, int, void* (*)(unsigned long))	[Unknown]	0x25ad0
std::vector<unsigned long, std::allocator<unsigned long>>::_M_fill_insert	0.033342	0.033342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	std::vector<unsigned long, std::allocator<unsigned long>>::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long>>>, unsigned long, unsigned long const&)	[Unknown]	0x1aaf60
memset	0.030002	0.030002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc-dynamic.so	memset	[Unknown]	0x6a3b0
diskann::InMemQueryScratch<float>::clear	0.029993	0.029993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	diskann::InMemQueryScratch<float>::clear(void)	[Unknown]	0x4b3850
memmove	0.020026	0.020026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc-dynamic.so	memmove	[Unknown]	0x69e90
operator new	0.020022	0.020022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc++abi.so	operator new(unsigned long)	[Unknown]	0x25000
diskann::Index<float, unsigned int, unsigned int>::resize	0.020016	0.020016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	diskann::Index<float, unsigned int, unsigned int>::resize(unsigned long)	[Unknown]	0x1124b0
memcmp	0.019996	0.019996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc-dynamic.so	memcmp	[Unknown]	0x69ce0
diskann::InMemGraphStore::~InMemGraphStore	0.019977	0.019977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	diskann::InMemGraphStore::~InMemGraphStore(void)	[Unknown]	0x489aa0
boost::program_options::store	0.010054	0.010054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libboost_program_options.so.1.83.0	boost::program_options::store(boost::program_options::basic_parsed_options<char> const&, boost::program_options::variables_map&, bool)	[Unknown]	0x29b00
OS_BARESYSCALL_DoCallAsmIntel64Linux	0.010008	0.010008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc-dynamic.so	OS_BARESYSCALL_DoCallAsmIntel64Linux	[Unknown]	0x80954
func@0x14250	0.010001	0.010001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	func@0x14250	[Unknown]	0x14250
__kmp_api_GOMP_parallel	0.010000	0.0	0.0	0.0	0.0	0.0	0.010000	0.0	0.0	0.0	0.0	0.010000	libiomp5.so	__kmp_api_GOMP_parallel	kmp_gsupport.cpp	0xb5c40
std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int>>::_M_insert_unique_<unsigned int&, std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int>>::_Alloc_node>.isra.0	0.010000	0.010000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int>>::_M_insert_unique_<unsigned int&, std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int>>::_Alloc_node>(std::_Rb_tree_const_iterator<unsigned int>, unsigned int&&&, std::_Rb_tree<unsigned int, unsigned int, std::_Identity<unsigned int>, std::less<unsigned int>, std::allocator<unsigned int>>::_Alloc_node&).isra.0	[Unknown]	0x51630
std::vector<tsl::detail_robin_hash::bucket_entry<unsigned int, (bool)0>, std::allocator<tsl::detail_robin_hash::bucket_entry<unsigned int, (bool)0>>>::_M_default_append	0.010000	0.010000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	std::vector<tsl::detail_robin_hash::bucket_entry<unsigned int, (bool)0>, std::allocator<tsl::detail_robin_hash::bucket_entry<unsigned int, (bool)0>>>::_M_default_append(unsigned long)	[Unknown]	0x1bd350
tcmalloc::ThreadCache::ListTooLong	0.010000	0.010000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libtcmalloc.so.4	tcmalloc::ThreadCache::ListTooLong(tcmalloc::ThreadCache::FreeList*, unsigned int)	[Unknown]	0x248e0
tc_new	0.009993	0.009993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libtcmalloc.so.4	tc_new	[Unknown]	0x34440
strcmp	0.009990	0.009990	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	libc-dynamic.so	strcmp	[Unknown]	0x3e510
diskann::natural_number_set<unsigned int>::insert	0.009985	0.009985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	diskann::natural_number_set<unsigned int>::insert(unsigned int)	[Unknown]	0x498e40
diskann::Index<float, unsigned int, unsigned int>::search<unsigned int>	0.009981	0.009981	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	diskann::Index<float, unsigned int, unsigned int>::search<unsigned int>(float const*, unsigned long, unsigned int, unsigned int*, float*)	[Unknown]	0x27db90
__kmp_api_GOMP_loop_nonmonotonic_dynamic_next	0.009979	0.0	0.0	0.0	0.0	0.0	0.009979	0.0	0.0	0.0	0.0	0.009979	libiomp5.so	__kmp_api_GOMP_loop_nonmonotonic_dynamic_next	kmp_gsupport.cpp	0xb0500
std::vector<std::vector<unsigned int, std::allocator<unsigned int>>, std::allocator<std::vector<unsigned int, std::allocator<unsigned int>>>>::_M_default_append	0.006843	0.006843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	search_memory_index	std::vector<std::vector<unsigned int, std::allocator<unsigned int>>, std::allocator<std::vector<unsigned int, std::allocator<unsigned int>>>>::_M_default_append(unsigned long)	[Unknown]	0x146410
