batch_size,threads,qps,mean_lat_us,99p_lat_us,recall
1,1,1172.59,816.28,816.28,100.00
10,10,3245.65,1793.44,2125.13,99.00
50,50,5740.96,3842.79,5496.88,99.20
100,100,3951.33,13147.07,18042.24,99.20
500,128,25081.59,2562.62,9267.07,98.78
1000,128,49890.37,1298.18,9214.29,98.83
5000,128,110438.92,904.22,12859.96,99.03
10000,128,161315.17,662.58,7911.54,99.13
