nprobe,probed_clusters,avg_queries_per_cluster,sharing_rate,pct_shared_2plus,pct_shared_4plus,pct_shared_8plus
8,1013,7.897334649555775,0.873375,97.33464955577492,84.79763079960513,47.581441263573545
16,1021,15.670910871694417,0.9361875,99.70617042115573,97.15964740450539,85.30852105778648
32,1024,31.25,0.968,99.90234375,99.609375,96.09375
64,1024,62.5,0.984,100.0,100.0,99.4140625
128,1024,125.0,0.992,100.0,100.0,100.0
